"event_date","day_type","day_type_group","yday","ie_crabber_hours","max_present","L_effective","pred_L_mu","pred_L_sigma"
2023-08-17,"Weekday","weekday",229,147.25,32,4.6015625,5.53460562337499,0.212158832896763
2023-09-12,"Weekday","weekday",255,90,15,6,5.59130152766141,0.210356177586587
2023-10-05,"Weekday","weekday",278,140,20,7,5.62892314021899,0.20897342310004
2023-10-19,"Weekday","weekday",292,39.5,8,4.9375,5.64595003734762,0.208576326558117
2023-12-06,"Weekday","weekday",340,46.25,7,6.60714285714286,5.67003160795405,0.213364759286583
2023-12-28,"Weekday","weekday",362,108.5,19,5.71052631578947,5.66320102208947,0.220817933371686
2023-12-29,"Weekend","weekend",363,130.5,23,5.67391304347826,5.66262380752028,0.221260860906736
2024-02-10,"Weekend","weekend",41,581,117,4.96581196581197,4.7344801762091,0.213844848180948
2024-02-18,"Weekend","weekend",49,61,13,4.69230769230769,4.78013015338051,0.212511269126556
2024-03-01,"Weekend","weekend",61,27,10,2.7,4.84704703230507,0.211199253715924
2024-03-08,"Weekend","weekend",68,64.25,14,4.58928571428571,4.88518186859483,0.210757558242465
2024-03-28,"Weekday","weekday",88,54.5,11,4.95454545454545,4.99027400108887,0.210484851663197
2024-04-03,"Weekday","weekday",94,281.25,50,5.625,5.02063486684477,0.210614715055146
2024-05-19,"Weekend","weekend",140,318.5,59,5.39830508474576,5.23390063902278,0.212799798725505
2024-06-14,"Weekend","weekend",166,188.5,35,5.38571428571429,5.33790637447867,0.213718207948744
2024-08-29,"Weekday","weekday",242,171.25,27,6.34259259259259,5.56480843518784,0.211279403541944
2024-09-10,"Weekday","weekday",254,258,38,6.78947368421053,5.58939658855761,0.210426365935194
2024-10-21,"Weekday","weekday",295,88.5,25,3.54,5.64901487323058,0.208561466149668
2024-11-09,"Weekend","weekend",314,158.25,31,5.10483870967742,5.66361021912847,0.209265541346598
2024-12-06,"Weekend","weekend",341,123.25,20,6.1625,5.66996497085087,0.213615252232917
2025-01-22,"Weekday","weekday",22,23.5,6,3.91666666666667,4.62293807064712,0.218806505550677
2025-02-28,"Weekend","weekend",59,240,48,5,4.83602773844724,0.211366385982658
2025-08-26,"Weekday","weekday",238,331,47,7.04255319148936,5.55590765256432,0.211559171594315
2025-10-23,"Weekday","weekday",296,108.25,26,4.16346153846154,5.64999053689791,0.208563050840753
2025-12-11,"Weekday","weekday",345,71.75,11,6.52272727272727,5.6694660383588,0.214696098181442
2025-12-19,"Weekend","weekend",353,78.75,17,4.63235294117647,5.66735315278031,0.217255852226909
2026-01-08,"Weekday","weekday",8,19.25,4,4.8125,4.5381352278199,0.224371007778746
2026-01-17,"Weekend","weekend",17,413,72,5.73611111111111,4.59289451048437,0.220592084784235
2026-01-20,"Weekday","weekday",20,78.5,17,4.61764705882353,4.61095383488099,0.219494847496509
2026-03-05,"Weekday","weekday",64,64,14,4.57142857142857,4.86347355429366,0.210983610350133
