"Month","BSS_Catch_median","BSS_Catch_lo95","BSS_Catch_hi95","BSS_Effort_median","BSS_Effort_lo95","BSS_Effort_hi95"
"2024-09",1529,1220,2087,1064,837,1478
"2024-10",3224,2713,3949,2270,1922,2757
"2024-11",2633,2062,3408,1990,1568,2552
"2024-12",9709,8895,10825,2286,1881,2848
"2025-01",7393,6855,8166,2526,2021,3303
"2025-02",1710,1403,2188,1521,1171,2042
"2025-03",1881,1323,2908,2066,1641,2732
"2025-04",3582,2530,5427,3468,2722,4671
"2025-05",7942,5085,13251,3945,3118,5234
"2025-06",4346,2739,7460,3293,2358,4879
"2025-07",12464,7094,23769,7382,5488,10414
"2025-08",19581,12524,31524,8338,6588,10902
"2025-09",5866,3410,10912,3632,2735,4947
