"metric","value"
"Season start","2024-09-16"
"Season end","2025-09-15"
"Season days","365"
"PE total catch","61747"
"BSS total catch (median)","71796"
"BSS 95% CI lower","62225"
"BSS 95% CI upper","85990"
"Catch (PE): Shore","21533"
"Catch (PE): Private Boat","28228"
"Catch (PE): Commercial/Charter","11986"
"Catch % (PE): Shore","34.9"
"Catch % (PE): Private Boat","45.7"
"Catch % (PE): Commercial/Charter","19.4"
"Effort days sampled","200"
"Total interviews","3925"
"BSS fits attempted","3"
"BSS fits passed convergence","3"
