"param","median_bulk","median_div","smd","distortion_C","distortion_E"
"sigma_mu_C",0.760341595823742,0.777709641929125,0.625818376754611,0.0652273856327721,0.036222042406288
"sigma_mu_E",0.736627158548765,0.628664317683164,0.464738355634438,0.0652273856327721,0.036222042406288
"phi_C",-0.162221396940394,-0.270116919897923,-0.20930593192594,0.0652273856327721,0.036222042406288
"sigma_eps_E",0.877410162573204,0.894331536477801,0.132950712244449,0.0652273856327721,0.036222042406288
"R_G_boat",3.55203661874944,3.57709022651926,0.111728662311894,0.0652273856327721,0.036222042406288
"sigma_r_C",0.769791006528909,0.767161281691157,-0.0958970945026291,0.0652273856327721,0.036222042406288
"phi_E",0.760008731154921,0.722921608135946,-0.095803988890158,0.0652273856327721,0.036222042406288
"r_C",1.68754100432515,1.69913240674642,0.0749177140436389,0.0652273856327721,0.036222042406288
"sigma_IE",0.136847590454491,0.129360987376161,-0.071622010337472,0.0652273856327721,0.036222042406288
"sigma_eps_C",0.403361988663951,0.398555457967053,-0.0415910281304063,0.0652273856327721,0.036222042406288
"R_G",1.22725447920824,1.26514811759188,0.0345979461606349,0.0652273856327721,0.036222042406288
"sigma_r_E",0.942205250011454,0.940060907304303,-0.0259963065304398,0.0652273856327721,0.036222042406288
"r_E",1.12644232723169,1.13160101445279,-0.00165523700475709,0.0652273856327721,0.036222042406288
