"term","edf","Ref.df","F","p-value"
"s(yday)",4.89819322194145,7,6.28646621485292,0
"s(tide_range_m)",0.829587483394308,4,1.16746173493175,0.008118805915178
"s(daytime_tide_range_m)",1.26673265281103,4,0.746383619669667,0.0695997848645846
"s(daytime_high_hour)",0.00012345527041959,4,1.99952351300762e-05,0.423770094909939
"s(n_high_tides_daytime)",7.97504964624525e-05,4,6.0736044157411e-06,0.694561527525159
"s(flood_hours_daytime)",4.9553217970561e-05,4,2.8072494382327e-07,0.992705870142304
"s(tidal_energy)",1.3711338462559,4,0.838716837048203,0.0672607415020234
"s(wave_h_m_mean)",6.55648959872167e-05,4,4.34735517358263e-07,0.987605765378841
"s(wave_h_m_max)",6.00574657179419e-05,4,8.56906468368842e-06,0.450199398627702
"s(precip_mm_total)",1.38791775083428,4,4.910853575793,1.24054636554405e-05
"s(temp_c_max)",0.0548661708700918,4,0.0141708826700358,0.293212190538253
